old_name	new_name	occurrences	first_seen	note
attendreOuRenoncer	waitOrAbandon	1	src/server/steps/ingest.ts:178	
attendu	expected	6	src/server/run.ts:128	
attendue	expected	3	scripts/dev-render.ts:43	
attendues	expected	1	tests/core/parcours.test.ts:183	
attendus	expected	13	src/components/clip/panneau-export.tsx:118	
attente	wait	1	src/server/steps/candidates.ts:623	
ATTENTE_QUOTA_MAX_MS	WAIT_QUOTA_MAX_MS	1	src/server/steps/candidates.ts:462	
attentes	waits	1	tests/server/candidates.test.ts:162	
auCurseur	cursor	2	src/components/clip/transcript-surface.tsx:439	
aujourdhui	today	1	src/server/steps/render.ts:651	
auRepos	rest	1	tests/lib/enregistrement-auto.test.tsx:167	
automatique	automatic	1	src/components/clip/crop-picker.tsx:134	
autre	other	5	src/components/clip/ecran-clip.tsx:97	
AUTRE	OTHER	1	tests/server/empreinte.test.ts:566	
avancement	progress	6	src/server/ffmpeg.ts:316	
Avancement	Progress	1	src/server/ffmpeg.ts:83	
AvancementCopie	ProgressCopy	1	src/server/steps/ingest.ts:655	
avancementDuMontage	editingProgress	1	src/components/tri/fin-de-boucle.tsx:102	
AvancementRendu	ProgressRender	1	src/server/steps/render.ts:60	
avancementWorker	progressWorker	1	src/core/pipeline.ts:72	
avancer	advance	2	src/server/run.ts:855	
avant	before	19	scripts/dev-commun.ts:35	
avantLeDébut	beforeStart	2	tests/server/analysis.test.ts:81	
avec	included	3	tests/core/framing.test.ts:866	
avecEspace	withEspace	1	tests/server/sources.test.ts:58	
avecEspaces	withSpaces	1	tests/server/vignettes-sources.test.ts:663	
avecFiltre	withFilter	2	scripts/mesure-premier-plan.ts:236	
avecTrou	withGap	1	tests/core/transcript.test.ts:503	
avertissements	warnings	1	tests/server/render.test.ts:693	
balayage	sweep	1	scripts/mesure-ratios.ts:625	
BandeAvancement	StripProgress	1	src/components/tri/avancement.tsx:232	
barre	bar	4	scripts/dev-render.ts:54	
barreAudio	barAudio	1	scripts/dev-ingest.ts:72	
barreCopie	barCopy	1	scripts/dev-ingest.ts:32	
BarreDeRecherche	SearchBar	1	src/components/clip/transcript-surface.tsx:388	
barreProxy	barProxy	1	scripts/dev-ingest.ts:49	
barres	bars	1	scripts/dev-render.ts:48	
bas	bottom	11	scripts/vignettes-cadrage.ts:206	
basculerLecture	togglePlayback	1	src/components/clip/clip-player.tsx:38	
basculerStatut	toggleStatus	1	src/lib/clip-status.ts:42	
battement	beat	2	scripts/dev-run.ts:61	
besoinDeLaCopie	copyNeed	1	src/server/run.ts:839	
bilan	summary	29	src/components/tri/fil.tsx:68	
bilanDeRepérage	detectionSummary	1	src/server/run.ts:460	
BilanNotation	SummaryNotation	1	src/server/steps/candidates.ts:767	
bilans	summaries	1	src/server/steps/candidates.ts:909	
bloc	block	1	tests/components/show/show-view.test.tsx:150	
blocs	blocks	11	src/server/steps/candidates.ts:1027	
BLOCS_LARGES	BLOCKS_WIDE	1	tests/core/gemini.test.ts:87	
bloquante	blocking	1	tests/server/run.test.ts:723	
bloque	blocked	1	src/lib/enregistrement.ts:228	
bloqué	blocked	4	src/components/tri/relance.tsx:51	
bloquee	blocked	1	tests/server/api.test.ts:1356	
bloquée	blocked	1	tests/server/run.test.ts:524	
boîte	box	5	tests/components/clip/dialogue-raccourcis.test.tsx:22	
boîtes	boxes	19	scripts/mesure-ratios.ts:1024	
bonjour	hello	3	tests/components/show/transcript-panel.test.tsx:178	
bord	edge	8	src/components/clip/ecran-clip.tsx:237	
Bord	Edge	1	src/server/steps/render.ts:884	
bordBas	edgeBottom	1	scripts/mesure-premier-plan.ts:96	
bordPartout	edgeEverywhere	1	tests/core/framing.test.ts:831	
borne	bound	2	src/core/shots.ts:181	
borné	bound	2	src/components/clip/transcript-surface.tsx:226	
borner	bound	3	scripts/vignettes-cadrage.ts:232	
bornes	bounds	5	src/components/clip/ecran-clip.tsx:138	
bougé	moved	1	tests/server/render.test.ts:1008	
bouton	button	10	tests/components/clip/ecran-clip.test.tsx:164	
BoutonCopier	ButtonCopy	1	src/components/clip/panneau-export.tsx:578	
boutonExporter	buttonExporter	1	tests/components/clip/panneau-export.test.tsx:78	
BoutonRelance	ButtonRetry	1	src/components/tri/relance.tsx:173	
BoutonReprise	ButtonResume	1	src/components/tri/relance.tsx:49	
brut	raw	39	scripts/mesure-ratios.ts:1112	
brute	raw	1	src/server/ffmpeg.ts:128	
brutes	raw	1	tests/server/candidates.test.ts:1505	
brutInstants	rawMoments	1	scripts/mesure-ratios.ts:1154	
brutMarge	rawMargin	1	scripts/vignettes-cadrage.ts:283	
brutRatio	rawRatio	1	scripts/vignettes-cadrage.ts:319	
cadence	rate	1	src/server/ffprobe.ts:50	
cadrage	framing	30	scripts/mesure-ratios.ts:309	
cadrageDe	framingFor	1	tests/server/render.test.ts:145	
cadrageDuRelu	rereadFraming	1	src/server/steps/render.ts:1786	
cadre	frame	3	src/components/clip/apercu-sortie.tsx:64	
Cadre	Frame	1	scripts/vignettes-cadrage.ts:98	
cadré	frame	1	tests/core/framing.test.ts:929	
CADRE_1X1	FRAME_1_X_1	1	tests/core/ffmpeg-args.test.ts:203	
CADRE_9X16	FRAME_9_X_16	1	tests/core/ffmpeg-args.test.ts:202	
cadrées	framed	2	src/core/framing.ts:858	
calculé	computed	1	src/core/framing.ts:1201	
candidat	candidate	5	src/server/steps/candidates.ts:419	
candidats	candidates	8	src/components/clip/ecran-clip.tsx:78	
canevas	canvas	1	tests/core/framing.test.ts:1012	
capricieux	flaky	2	tests/server/candidates.test.ts:1093	
carré	square	2	tests/server/render.test.ts:833	
carte	card	7	src/components/tri/fil.tsx:172	
carte1	card1	1	tests/components/tri/fil.test.tsx:566	
cartes	cards	1	src/components/tri/fil.tsx:168	
cartons	cards	2	src/server/steps/render.ts:1903	
cas	scenarios	5	tests/server/render.test.ts:427	
cases	cells	2	scripts/mesure-premier-plan.ts:137	
casse	broken	2	tests/server/candidates.test.ts:1128	
cassé	broken	2	tests/core/transcript.test.ts:387	
causeDe	cause	1	src/server/sources.ts:191	
CauseIndisponible	CauseUnavailable	1	src/lib/api.ts:350	
caviarder	redact	1	src/server/steps/candidates.ts:504	
caviarderClés	redactKeys	1	src/core/erreurs.ts:170	
caviarderRéférencesConnues	redactReferencesKnown	1	src/server/erreurs.ts:116	
centième	hundredth	1	tests/server/analysis.test.ts:185	
centiemes	hundredths	1	src/core/captions/ass.ts:145	
centis	hundredths	1	src/core/captions/ass.ts:157	
centre	center	6	scripts/mesure-ratios.ts:1043	
centre	center	1	src/core/framing.ts:926	clé de propriété d'un objet littéral — jamais suivie par collect.mts (traduction ordinaire, seulement jamais cataloguée)
ceQuiDevientPossible	thisWhichBecomesPossible	1	src/components/tri/avancement.tsx:301	
CeQuOnIncrusterait	ObservedBurnIn	1	src/server/steps/render.ts:674	
champ	field	19	src/components/clip/champs-textes.tsx:50	
ChampCopiable	FieldCopyable	1	src/components/clip/panneau-export.tsx:535	
champs	fields	18	src/components/clip/ecran-clip.tsx:222	
CHAMPS	FIELDS	1	src/components/clip/raccourcis.tsx:26	
ChampsSuivis	FieldsTracked	1	src/lib/enregistrement.ts:33	
ChampsTextes	FieldsTexts	1	src/components/clip/champs-textes.tsx:27	
changementDÉtape	changeDStep	1	src/server/run.ts:585	
chaque2s	each2S	1	tests/core/transcript.test.ts:494	
charge	load	1	tests/server/analysis.test.ts:391	
chargeFichier	loadFile	1	tests/server/analysis.test.ts:402	
Chargement	Loading	1	src/app/projects/[id]/page.tsx:27	
charges	loaded	4	tests/server/candidates.test.ts:1314	
chemin	filePath	18	src/server/rendus.ts:50	
chemin	fingerprintPath	1	tests/server/render.test.ts:655	
chemin	path	37	src/app/api/projects/[id]/proxy/route.ts:50	
chemin	resultPath	1	tests/server/vignettes-sources.test.ts:456	
chemin	thumbPath	1	tests/server/vignettes-sources.test.ts:226	
chemins	paths	41	src/app/api/clips/[id]/route.ts:199	
cheminsCudnn	pathsCudnn	1	src/server/steps/transcript.ts:66	
cheminsRendu	pathsRender	1	src/server/steps/render.ts:170	
CheminsRendu	PathsRender	1	src/server/steps/render.ts:106	
cheminStatut	pathStatus	1	src/server/run.ts:475	
cheminTemporaire	pathTemporary	1	src/server/ffmpeg.ts:558	
cheminTranscript	pathTranscript	1	src/server/run.ts:266	
cheminVariante	pathVariant	1	src/server/steps/render.ts:160	
chercher	find	3	src/components/clip/raccourcis.tsx:95	
chercherSidecar	findSidecar	1	src/server/run.ts:290	
chevauchement	overlap	1	tests/server/analysis.test.ts:121	
chiffres	digits	1	src/core/captions/ass.ts:102	
choisi	chosen	1	src/components/clip/crop-picker.tsx:316	
choisie	chosen	2	src/components/tri/ecran-projet.tsx:305	
choisirEncodeur	chooseEncoder	1	src/server/ffmpeg.ts:181	
choisirRatio	chooseRatio	2	src/store/editor.ts:93	
choisirRatio	chooseRatioFromSpans	1	src/core/framing.ts:854	
chrono	timer	1	scripts/dev-commun.ts:100	
cible	target	19	src/components/clip/apercu-sortie.tsx:125	
CIBLE	TARGET	1	src/app/api/projects/[id]/run/route.ts:19	
CibleLançable	TargetLaunchable	1	src/server/run.ts:637	
cibles	targets	5	scripts/dev-run.ts:33	
CIBLES_DE_REPRISE	RESUME_TARGETS	1	src/lib/api.ts:761	
CIBLES_INITIALES	TARGETS_INITIAL	1	src/server/run.ts:1129	
CIBLES_LANÇABLES	TARGETS_LAUNCHABLE	1	src/server/run.ts:636	
cité	cited	1	tests/core/erreurs.test.ts:282	
classées	sorted	3	scripts/mesure-ratios.ts:1023	
cle	key	2	src/components/clip/transcript-surface.tsx:50	
clé	key	27	scripts/mesure-ratios.ts:1016	
CLÉ_DANS_URL	KEY_IN_URL	1	src/core/erreurs.ts:167	
cles	keys	1	src/lib/queries.ts:43	
cléSidecar	keySidecar	1	src/server/run.ts:286	
cleSources	keySources	1	src/components/sources/use-sources.ts:23	
clientParDéfaut	clientByDefault	1	src/server/steps/candidates.ts:653	
clipDeBase	baseClip	1	tests/server/api.test.ts:157	
clipDepuisLigne	clipSinceLine	1	src/server/db.ts:774	
clipsChevauchés	clipsOverlapping	1	src/lib/queries.ts:175	
clipSuivant	clipNext	1	src/lib/parcours.ts:212	
collé	stuck	1	tests/core/framing.test.ts:573	
collecterMarques	collectMarkers	1	src/server/steps/render.ts:999	
collées	attached	1	scripts/mesure-premier-plan.ts:97	
collés	attached	1	tests/server/analysis.test.ts:198	
CollisionDeProjetError	ProjectErrorCollision	1	src/server/run.ts:125	
colonne	column	1	src/server/db.ts:145	
colonnes	columns	4	src/server/db.ts:144	
colonneSeq	columnSeq	1	tests/server/db.test.ts:674	
combinaisons	combinations	1	tests/lib/parcours.test.ts:66	
comédienDebout	performerStanding	1	tests/core/framing.test.ts:782	
comédienLointain	performerDistant	1	tests/core/framing.test.ts:784	
comédiens	performers	1	tests/core/framing.test.ts:857	
commande	command	3	src/components/clip/raccourcis.tsx:114	
commandeLisible	commandReadable	1	src/server/steps/analysis.ts:550	
commun	common	4	src/server/run.ts:1028	
comparaison	comparison	1	scripts/mesure-ratios.ts:579	
complet	complete	4	src/server/run.ts:497	
complètes	complete	1	src/server/ffmpeg.ts:410	
compte	count	13	scripts/mesure-premier-plan.ts:143	
compte	counts	1	src/components/tri/fil.tsx:95	
compte	result	1	tests/core/parcours.test.ts:230	
compter	count	2	src/core/parcours.ts:226	
comptes	counts	1	scripts/mesure-ratios.ts:583	
compteur	counter	1	src/server/steps/ingest.ts:220	
condensatDesPolices	fontsDigest	1	src/server/steps/render.ts:502	
condensatDuLook	lookDigest	1	src/server/steps/render.ts:468	
confié	delegated	1	src/server/octets.ts:238	
conflit	conflict	1	src/components/tri/relance.tsx:269	
construireLeRendu	buildRender	1	src/core/ffmpeg/args.ts:487	
conteneur	container	1	src/components/clip/transcript-surface.tsx:79	
contenu	content	13	scripts/dev-transcribe.ts:127	
CONTENU	CONTENT	1	tests/server/proxy.test.ts:54	
contenuDuFichier	fileContent	1	src/server/steps/render.ts:456	
contexte	context	16	src/app/api/clips/[id]/export/route.ts:36	
CONTEXTE_S	CONTEXT_S	1	src/server/vues.ts:266	
ContexteDétail	ContextDetail	1	src/server/steps/candidates.ts:1440	
ContexteNotation	ContextNotation	1	src/server/steps/candidates.ts:1138	
contexteRendu	contextRender	1	tests/server/api.test.ts:61	
contient	contains	1	src/server/sources.ts:269	
contigus	contiguous	1	tests/core/transcript.test.ts:479	
contour	outline	1	src/core/captions/ass.ts:243	
copie	copy	10	src/server/db.ts:987	
copié	copy	2	src/components/clip/panneau-export.tsx:587	
copieExisting	copyExisting	1	tests/core/candidates.test.ts:51	
copieIncoming	copyIncoming	1	tests/core/candidates.test.ts:52	
copieLà	copy	1	src/server/run.ts:840	
copier	copy	1	src/server/steps/ingest.ts:209	
copier	copyToClipboard	1	src/components/clip/panneau-export.tsx:593	
copiesEnCours	copiesInCurrent	1	tests/server/ingest.test.ts:463	
copieStat	copyStat	1	src/server/steps/ingest.ts:720	
corps	body	17	src/lib/api.ts:660	
corpsDe	body	1	tests/server/api.test.ts:965	
corpsDeRéférence	referenceBody	1	src/server/secrets.ts:121	
corpsEnvoyé	bodySent	2	tests/components/tri/relance.test.tsx:31	
CorrectionRefusal	CorrectionRejection	1	src/lib/editing.ts:311	
couleur	color	5	scripts/vignettes-cadrage.ts:90	
couleurDeStyle	styleColor	1	src/core/captions/ass.ts:117	
couleurEnLigne	colorInLine	1	src/core/captions/ass.ts:130	
COULEURS	COLORS	1	scripts/vignettes-premier-plan.ts:93	
coupé	cut	1	tests/lib/enregistrement.test.ts:40	
coupes	cuts	2	src/components/clip/clip-player.tsx:123	
courant	current	10	src/components/tri/fil.tsx:159	
courante	current	2	scripts/dev-run.ts:63	
courantId	currentId	1	src/lib/parcours.ts:214	
couvert	covered	3	src/server/steps/candidates.ts:862	
couverte	covered	1	src/core/framing.ts:1169	
couverture	coverage	2	scripts/mesure-ratios.ts:773	
couvertures	coverage	1	scripts/mesure-premier-plan.ts:183	
CRÉATION	CREATION	1	src/app/api/projects/route.ts:16	
créerBarre	createBar	1	scripts/dev-commun.ts:79	
créerJournal	createLog	1	src/server/ffmpeg.ts:124	
créerProjet	createProject	1	src/server/run.ts:1140	
créneaux	slots	1	src/core/transcript.ts:365	
cropDuPlan	shotCrop	1	src/core/framing.ts:903	
curseur	cursor	2	src/components/clip/transcript-surface.tsx:108	
curseurRendu	cursorRender	1	src/components/clip/transcript-surface.tsx:209	
dans01	in01	1	scripts/mesure-ratios.ts:1038	
dansIntervalle	inInterval	1	src/core/framing.ts:686	
de	from	1	tests/core/framing.test.ts:209	
debloquePar	unblockedBy	1	src/lib/parcours.ts:112	
débloquer	unblock	1	tests/server/run.test.ts:523	
débordant	overflowing	1	tests/core/framing.test.ts:1086	
débordantes	overflowing	1	scripts/vignettes-cadrage.ts:422	
débordement	overflow	1	scripts/vignettes-cadrage.ts:242	
debut	start	3	src/components/tri/candidate-card.tsx:76	
début	snappedStart	1	src/core/gemini/parse.ts:318	
début	start	6	scripts/mesure-ratios.ts:403	
débutBrut	startRaw	1	src/core/range.ts:72	
décidé	decided	1	tests/server/render.test.ts:1415	
décidées	decided	1	src/core/shots.ts:178	
decider	decide	1	src/components/tri/fil.tsx:203	
décimales	decimals	1	scripts/mesure-ratios.ts:222	
décision	decision	1	src/server/steps/ingest.ts:727	
décisionCopie	decisionCopy	1	src/server/steps/ingest.ts:80	
DécisionCopie	DecisionCopy	1	src/server/steps/ingest.ts:65	
découpe	cut	6	scripts/mesure-ratios.ts:227	
Découpe	Cut	1	scripts/mesure-ratios.ts:195	
découpes	cuts	6	scripts/mesure-premier-plan.ts:202	
découvert	discovered	1	src/core/framing.ts:1178	
décrites	described	1	tests/core/parcours.test.ts:182	
décritLeClip	describedClip	2	src/server/steps/render.ts:778	
dedans	inside	7	scripts/mesure-ratios.ts:361	
defaire	undo	2	src/components/tri/fil.tsx:211	
défaut	defaultValue	7	scripts/mesure-ratios.ts:641	
defilement	scroll	3	src/components/tri/fil.tsx:588	
defiler	scroll	2	tests/components/tri/fil.test.tsx:451	
défilerRef	scrollRef	1	src/components/clip/transcript-surface.tsx:191	
défilerVers	scrollToward	1	src/components/clip/transcript-surface.tsx:123	
definirLecture	definePlayback	2	src/components/clip/lecture.ts:73	
definirMots	defineWords	2	src/components/clip/lecture.ts:71	
definirPosition	definePosition	2	src/components/clip/lecture.ts:72	
dehors	outside	1	tests/server/vignettes-sources.test.ts:357	
déjà	already	4	scripts/mesure-ratios.ts:1017	
DÉJÀ_PRIS	ALREADY_TAKEN	1	src/components/tri/raccourcis.ts:29	
déjàLivré	alreadyDelivered	1	src/components/clip/panneau-export.tsx:107	
DÉLAI_APPEL_MS	DELAY_CALL_MS	1	src/server/steps/candidates.ts:147	
DÉLAI_MS	DELAY_MS	1	src/server/secrets.ts:87	
DÉLAI_STAT_MS	DELAY_STAT_MS	1	src/server/steps/ingest.ts:132	
délaiDeQuota	quotaDelay	1	src/server/steps/candidates.ts:479	
délimiteur	delimiter	1	src/core/erreurs.ts:214	
demande	request	2	src/components/clip/apercu-sortie.tsx:169	
DEMANDE	REQUEST	2	src/app/api/clips/[id]/export/route.ts:29	
demandé	request	2	scripts/vignettes-premier-plan.ts:230	
demander	request	3	tests/components/clip/apercu-sortie.test.tsx:149	
demandes	requests	1	tests/server/vignettes-sources.test.ts:410	
dénominateur	denominator	1	src/server/ffprobe.ts:54	
depart	start	4	tests/components/tri/fil.test.tsx:67	
départ	start	2	scripts/dev-commun.ts:101	
départTardif	startLate	1	tests/server/analysis.test.ts:163	
déplacé	moved	1	tests/core/framing.test.ts:666	
deplacer	move	2	src/components/clip/transcript-surface.tsx:122	
deplacerCrop	moveCrop	2	src/store/editor.ts:102	
déplacés	moved	2	scripts/mesure-premier-plan.ts:237	
depuis	since	1	src/components/tri/fil.tsx:191	
depuisArtefact	sinceArtifact	1	src/server/vues.ts:209	
depuisSchéma	sinceSchema	1	src/server/steps/candidates.ts:713	
dérive	drift	1	tests/core/framing.test.ts:482	
dernier	last	4	scripts/dev-commun.ts:81	
dernierBilan	lastSummary	1	src/server/steps/candidates.ts:925	
dernière	last	3	src/components/clip/champs-textes.tsx:152	
derniereÉcriture	lastWrite	1	src/lib/queries.ts:174	
dernièreÉcriture	lastWrite	1	src/server/run.ts:77	
dernières	last	1	src/components/tri/raccourcis.ts:137	
derniereTentative	lastAttempt	1	src/lib/enregistrement.ts:272	
dernierJeton	lastToken	1	src/lib/queries.ts:159	
dernierRefus	lastRejection	1	src/components/clip/ecran-clip.tsx:192	
dérogation	exception	1	src/core/framing.ts:1276	
descendre	descend	1	src/server/steps/candidates.ts:1661	
déséchapper	unescape	1	src/server/sources.ts:262	
desordre	outOfOrder	2	tests/core/captions.test.ts:73	
désordre	outOfOrder	1	tests/server/analysis.test.ts:130	
détachées	detached	1	scripts/mesure-premier-plan.ts:98	
détail	detail	12	scripts/mesure-premier-plan.ts:229	
détailHorsMédia	detailHorsMedia	1	tests/core/gemini.test.ts:18	
détaille	detailed	1	tests/core/gemini.test.ts:105	
détailler	detail	1	src/server/steps/candidates.ts:1507	
détailleur	detailer	1	tests/server/candidates.test.ts:1312	
détails	details	1	tests/server/candidates.test.ts:1367	
deux	two	5	tests/components/clip/apercu-sortie.test.tsx:183	
DEUX	TWO	1	tests/components/clip/framing.test.ts:30	
deuxChiffres	twoDigits	1	src/core/captions/ass.ts:107	
DialogueRaccourcis	DialogueShortcuts	1	src/components/clip/raccourcis.tsx:187	
dièses	hashes	3	src/components/clip/panneau-export.tsx:512	
differee	deferred	1	tests/components/sources/library-screen.test.tsx:215	
dimensionnées	sized	1	src/server/steps/render.ts:943	
disponible	available	1	src/lib/api.ts:365	
disponibles	available	1	src/server/steps/render.ts:648	
disposition	layout	1	src/components/tri/ecran-projet.tsx:99	
Disposition	Layout	1	src/components/tri/modele.ts:213	
dispositionAvancement	layoutProgress	1	src/components/tri/modele.ts:215	
dit	said	1	src/server/secrets.ts:216	
doitIngérer	doitIngest	2	src/server/run.ts:725	
donné	given	3	src/server/steps/render.ts:975	
donnees	data	1	tests/components/clip/ecran-clip.test.tsx:96	
données	data	4	src/app/api/clips/[id]/thumb/route.ts:31	
dossier	folder	28	scripts/vignettes-cadrage.ts:353	
dossierDesMarques	markersFolder	1	src/server/steps/render.ts:975	
dossierDesPolices	fontsFolder	1	src/server/steps/render.ts:980	
dossierDesPolicesUtilisable	fontsUsableFolder	1	src/server/steps/render.ts:1865	
dossiersLib	foldersLib	2	src/server/steps/transcript.ts:66	
dossierVideToléré	folderEmptyTolerated	1	src/server/steps/render.ts:649	
dossierVignettesSources	folderVignettesSources	1	src/server/vignettes-sources.ts:59	
douze	twelve	1	tests/core/gemini.test.ts:264	
drapeau	flag	2	scripts/vignettes-cadrage.ts:259	
drapeauxAvecValeur	flagsWithValue	1	scripts/vignettes-cadrage.ts:265	
droite	right	3	src/server/steps/candidates.ts:1733	
DU_PLUS_ÉTROIT_AU_PLUS_LARGE	MORE_NARROW_MORE_WIDE	3	scripts/mesure-premier-plan.ts:69	
duree	duration	6	src/components/clip/ecran-clip.tsx:139	
durée	duration	14	scripts/dev-commun.ts:59	
dureeGardee	durationKept	3	src/components/tri/fin-de-boucle.tsx:34	
duServeur	serverMessage	1	tests/components/sources/library-screen.test.tsx:233	
é	step	1	tests/core/parcours.test.ts:327	
écart	gap	3	scripts/dev-render.ts:86	
écartDeLEmpreinte	lFingerprintGap	1	src/server/steps/render.ts:695	
ecarte	discarded	1	src/components/tri/candidate-card.tsx:82	
écarté	discarded	1	tests/server/candidates.test.ts:618	
ÉcartEmpreinte	GapFingerprint	1	src/server/steps/render.ts:662	
ecarter	discard	1	src/components/tri/raccourcis.ts:91	
écarterRenduPérimé	discardRenderStale	1	src/server/steps/render.ts:1767	
ecartes	discarded	3	src/components/tri/relance.tsx:179	
écartés	discarded	2	src/server/db.ts:954	
échantillon	sample	1	tests/core/framing.test.ts:208	
echapper	escape	3	src/components/clip/raccourcis.tsx:93	
échapper	escape	1	src/core/ffmpeg/args.ts:116	
echec	failure	3	src/components/clip/champs-textes.tsx:111	
Echec	Failure	1	src/components/clip/champs-textes.tsx:106	
échec	failure	4	src/lib/api.ts:657	
